Females;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age?;All Solid;Oesophagus;Stomach;Colon;Liver;Lung;Breast;Ovary;Bladder;Thyroid;Other;Leukaemia (C91-C95);;;;;;;;;;;;;;;;;;;
0-4;3.453719644;;;;;;;;;;;2.367454366;;;;;;;;;;;;;;;;;;;
5-9;2.760308928;;;;;;;;;;;1.923011512;;;;;;;;;;;;;;;;;;;
10-14;2.504761627;;;;;;;;;;;1.757155101;;;;;;;;;;;;;;;;;;;
15-19;3.123906821;;;;;;;;;;;1.523850975;;;;;;;;;;;;;;;;;;;
20-24;5.866767278;;;;;;;;;;;0.899312765;;;;;;;;;;;;;;;;;;;
25-29;14.30302995;;;;;;;;;;;1.247929075;;;;;;;;;;;;;;;;;;;
30-34;19.0021187;;;;;;;;;;;1.04398647;;;;;;;;;;;;;;;;;;;
35-39;20.91043752;;;;;;;;;;;1.37864843;;;;;;;;;;;;;;;;;;;
40-44;31.28372833;;;;;;;;;;;1.58374648;;;;;;;;;;;;;;;;;;;
45-49;42.4700099;;;;;;;;;;;2.130705663;;;;;;;;;;;;;;;;;;;
50-54;74.2372392;;;;;;;;;;;2.692690484;;;;;;;;;;;;;;;;;;;
55-59;116.3654107;;;;;;;;;;;3.857765422;;;;;;;;;;;;;;;;;;;
60-64;262.466128;;;;;;;;;;;8.393457336;;;;;;;;;;;;;;;;;;;
65-69;147.0181525;;;;;;;;;;;7.439091538;;;;;;;;;;;;;;;;;;;
70-74;186.1487658;;;;;;;;;;;12.96408274;;;;;;;;;;;;;;;;;;;
75-79;152.8392713;;;;;;;;;;;10.47520388;;;;;;;;;;;;;;;;;;;
80-84;209.0564569;;;;;;;;;;;10.92343636;;;;;;;;;;;;;;;;;;;
85+;258.170228;;;;;;;;;;;13.42208244;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
